,precision,recall,f1-score,support
Apple___Apple_scab,0.782608695652174,0.7659574468085106,0.7741935483870968,94.0
Apple___Black_rot,0.5569620253164557,0.946236559139785,0.701195219123506,93.0
Apple___Cedar_apple_rust,0.47619047619047616,0.975609756097561,0.64,41.0
Apple___healthy,0.9383886255924171,0.8048780487804879,0.8665207877461707,246.0
Blueberry___healthy,0.9624413145539906,0.9070796460176991,0.9339407744874715,226.0
Cherry_(including_sour)___Powdery_mildew,0.8914728682170543,0.7278481012658228,0.8013937282229965,158.0
Cherry_(including_sour)___healthy,0.7891156462585034,0.90625,0.8436363636363636,128.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.7222222222222222,0.8441558441558441,0.7784431137724551,77.0
Corn_(maize)___Common_rust_,0.9516129032258065,0.9888268156424581,0.9698630136986301,179.0
Corn_(maize)___Northern_Leaf_Blight,0.8897058823529411,0.8231292517006803,0.8551236749116607,147.0
Corn_(maize)___healthy,1.0,0.9310344827586207,0.9642857142857143,174.0
Grape___Black_rot,0.7151898734177216,0.6384180790960452,0.6746268656716418,177.0
Grape___Esca_(Black_Measles),0.9090909090909091,0.821256038647343,0.8629441624365483,207.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.6986899563318777,0.9876543209876543,0.8184143222506394,162.0
Grape___healthy,0.6666666666666666,0.8125,0.7323943661971831,64.0
Orange___Haunglongbing_(Citrus_greening),0.9822335025380711,0.937046004842615,0.9591078066914498,826.0
Peach___Bacterial_spot,0.8934707903780069,0.7558139534883721,0.8188976377952756,344.0
Peach___healthy,0.8688524590163934,0.9814814814814815,0.9217391304347826,54.0
"Pepper,_bell___Bacterial_spot",0.647887323943662,0.92,0.7603305785123967,150.0
"Pepper,_bell___healthy",0.9545454545454546,0.47297297297297297,0.6325301204819277,222.0
Potato___Early_blight,0.6434782608695652,0.9866666666666667,0.7789473684210526,150.0
Potato___Late_blight,0.5,0.8733333333333333,0.6359223300970874,150.0
Potato___healthy,0.17647058823529413,0.9130434782608695,0.29577464788732394,23.0
Raspberry___healthy,0.8166666666666667,0.8909090909090909,0.8521739130434782,55.0
Soybean___healthy,0.9307479224376731,0.8795811518324608,0.9044414535666218,764.0
Squash___Powdery_mildew,0.9047619047619048,0.9672727272727273,0.9349736379613357,275.0
Strawberry___Leaf_scorch,0.8810810810810811,0.9760479041916168,0.9261363636363636,167.0
Strawberry___healthy,0.7415730337078652,0.9705882352941176,0.8407643312101911,68.0
Tomato___Bacterial_spot,0.8545454545454545,0.8840125391849529,0.8690292758089369,319.0
Tomato___Early_blight,0.8452380952380952,0.47333333333333333,0.6068376068376068,150.0
Tomato___Late_blight,0.7265625,0.6480836236933798,0.6850828729281768,287.0
Tomato___Leaf_Mold,0.7642857142857142,0.7482517482517482,0.7561837455830389,143.0
Tomato___Septoria_leaf_spot,0.6183431952662722,0.7886792452830189,0.693200663349917,265.0
Tomato___Spider_mites Two-spotted_spider_mite,0.5869565217391305,0.42857142857142855,0.4954128440366973,252.0
Tomato___Target_Spot,0.6266666666666667,0.6682464454976303,0.6467889908256881,211.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9381107491856677,0.7173100871731009,0.8129851799576571,803.0
Tomato___Tomato_mosaic_virus,0.7857142857142857,0.9821428571428571,0.873015873015873,56.0
Tomato___healthy,0.9502262443438914,0.8786610878661087,0.9130434782608695,239.0
accuracy,0.8157377854161552,0.8157377854161552,0.8157377854161552,0.8157377854161552
macro avg,0.7786520126383166,0.8321811523063788,0.7850077764518901,8146.0
weighted avg,0.8439390118850854,0.8157377854161552,0.8187529742650743,8146.0
