,precision,recall,f1-score,support
Apple___Apple_scab,0.5586206896551724,0.8617021276595744,0.6778242677824268,94.0
Apple___Black_rot,0.5069444444444444,0.7849462365591398,0.6160337552742616,93.0
Apple___Cedar_apple_rust,0.47674418604651164,1.0,0.6456692913385826,41.0
Apple___healthy,0.8598130841121495,0.7479674796747967,0.8,246.0
Blueberry___healthy,0.7862318840579711,0.9601769911504425,0.8645418326693227,226.0
Cherry_(including_sour)___Powdery_mildew,0.8333333333333334,0.8860759493670886,0.8588957055214724,158.0
Cherry_(including_sour)___healthy,0.8740740740740741,0.921875,0.8973384030418251,128.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.638095238095238,0.8701298701298701,0.7362637362637363,77.0
Corn_(maize)___Common_rust_,0.8090909090909091,0.994413407821229,0.8922305764411027,179.0
Corn_(maize)___Northern_Leaf_Blight,0.9431818181818182,0.564625850340136,0.7063829787234043,147.0
Corn_(maize)___healthy,0.9766081871345029,0.9597701149425287,0.9681159420289855,174.0
Grape___Black_rot,0.6578947368421053,0.7062146892655368,0.6811989100817438,177.0
Grape___Esca_(Black_Measles),0.8663594470046083,0.9082125603864735,0.8867924528301887,207.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9408284023668639,0.9814814814814815,0.9607250755287009,162.0
Grape___healthy,0.34782608695652173,1.0,0.5161290322580645,64.0
Orange___Haunglongbing_(Citrus_greening),0.9721212121212122,0.9709443099273608,0.9715324046032707,826.0
Peach___Bacterial_spot,0.8473053892215568,0.8226744186046512,0.8348082595870207,344.0
Peach___healthy,0.8524590163934426,0.9629629629629629,0.9043478260869565,54.0
"Pepper,_bell___Bacterial_spot",0.6949152542372882,0.82,0.7522935779816514,150.0
"Pepper,_bell___healthy",0.6337448559670782,0.6936936936936937,0.6623655913978495,222.0
Potato___Early_blight,0.5903614457831325,0.98,0.7368421052631579,150.0
Potato___Late_blight,0.9368421052631579,0.5933333333333334,0.726530612244898,150.0
Potato___healthy,0.625,0.6521739130434783,0.6382978723404256,23.0
Raspberry___healthy,0.6162790697674418,0.9636363636363636,0.75177304964539,55.0
Soybean___healthy,0.9809027777777778,0.7395287958115183,0.8432835820895522,764.0
Squash___Powdery_mildew,0.7248677248677249,0.9963636363636363,0.8392036753445635,275.0
Strawberry___Leaf_scorch,0.9433962264150944,0.8982035928143712,0.9202453987730062,167.0
Strawberry___healthy,0.4594594594594595,1.0,0.6296296296296297,68.0
Tomato___Bacterial_spot,0.8470588235294118,0.9028213166144201,0.874051593323217,319.0
Tomato___Early_blight,0.65,0.6066666666666667,0.6275862068965518,150.0
Tomato___Late_blight,0.8368794326241135,0.41114982578397213,0.5514018691588785,287.0
Tomato___Leaf_Mold,0.7883211678832117,0.7552447552447552,0.7714285714285715,143.0
Tomato___Septoria_leaf_spot,0.8983050847457628,0.4,0.5535248041775457,265.0
Tomato___Spider_mites Two-spotted_spider_mite,0.8380566801619433,0.8214285714285714,0.8296593186372746,252.0
Tomato___Target_Spot,0.8837209302325582,0.36018957345971564,0.5117845117845118,211.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9842180774748924,0.8542963885429639,0.9146666666666666,803.0
Tomato___Tomato_mosaic_virus,0.9215686274509803,0.8392857142857143,0.8785046728971962,56.0
Tomato___healthy,0.6739130434782609,0.9079497907949791,0.7736185383244206,239.0
accuracy,0.8107046403142647,0.8107046403142647,0.8107046403142647,0.8107046403142647
macro avg,0.7704037612171507,0.8184247205734586,0.7685663762648954,8146.0
weighted avg,0.8451484197193954,0.8107046403142647,0.8091129498255536,8146.0
