,precision,recall,f1-score,support
Apple___Apple_scab,0.9347826086956522,0.9148936170212766,0.9247311827956989,94.0
Apple___Black_rot,0.9583333333333334,0.989247311827957,0.9735449735449735,93.0
Apple___Cedar_apple_rust,1.0,0.975609756097561,0.9876543209876543,41.0
Apple___healthy,0.952,0.967479674796748,0.9596774193548387,246.0
Blueberry___healthy,0.9864864864864865,0.9690265486725663,0.9776785714285714,226.0
Cherry_(including_sour)___Powdery_mildew,0.9936305732484076,0.9873417721518988,0.9904761904761905,158.0
Cherry_(including_sour)___healthy,0.9694656488549618,0.9921875,0.9806949806949807,128.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.7840909090909091,0.8961038961038961,0.8363636363636363,77.0
Corn_(maize)___Common_rust_,1.0,0.994413407821229,0.9971988795518207,179.0
Corn_(maize)___Northern_Leaf_Blight,0.9280575539568345,0.8775510204081632,0.9020979020979021,147.0
Corn_(maize)___healthy,1.0,1.0,1.0,174.0
Grape___Black_rot,0.9649122807017544,0.9322033898305084,0.9482758620689655,177.0
Grape___Esca_(Black_Measles),0.9351851851851852,0.9758454106280193,0.9550827423167849,207.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9938271604938271,0.9969040247678018,162.0
Grape___healthy,0.9545454545454546,0.984375,0.9692307692307692,64.0
Orange___Haunglongbing_(Citrus_greening),0.9939172749391727,0.9891041162227603,0.991504854368932,826.0
Peach___Bacterial_spot,0.968299711815562,0.9767441860465116,0.9725036179450073,344.0
Peach___healthy,0.8571428571428571,1.0,0.9230769230769231,54.0
"Pepper,_bell___Bacterial_spot",0.8773006134969326,0.9533333333333334,0.9137380191693291,150.0
"Pepper,_bell___healthy",0.9205020920502092,0.990990990990991,0.9544468546637744,222.0
Potato___Early_blight,0.954248366013072,0.9733333333333334,0.9636963696369637,150.0
Potato___Late_blight,0.9586776859504132,0.7733333333333333,0.8560885608856088,150.0
Potato___healthy,0.8571428571428571,0.782608695652174,0.8181818181818182,23.0
Raspberry___healthy,0.9821428571428571,1.0,0.990990990990991,55.0
Soybean___healthy,0.9880478087649402,0.9738219895287958,0.980883322346737,764.0
Squash___Powdery_mildew,1.0,0.9963636363636363,0.9981785063752276,275.0
Strawberry___Leaf_scorch,1.0,0.9940119760479041,0.996996996996997,167.0
Strawberry___healthy,0.918918918918919,1.0,0.9577464788732394,68.0
Tomato___Bacterial_spot,0.967391304347826,0.8369905956112853,0.8974789915966387,319.0
Tomato___Early_blight,0.6544502617801047,0.8333333333333334,0.7331378299120235,150.0
Tomato___Late_blight,0.8480565371024735,0.8362369337979094,0.8421052631578947,287.0
Tomato___Leaf_Mold,0.7808988764044944,0.972027972027972,0.8660436137071651,143.0
Tomato___Septoria_leaf_spot,0.8700361010830325,0.909433962264151,0.8892988929889298,265.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9423076923076923,0.7777777777777778,0.8521739130434782,252.0
Tomato___Target_Spot,0.7906976744186046,0.8056872037914692,0.7981220657276995,211.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.991128010139417,0.9738480697384807,0.9824120603015075,803.0
Tomato___Tomato_mosaic_virus,0.9016393442622951,0.9821428571428571,0.9401709401709402,56.0
Tomato___healthy,0.9531914893617022,0.9372384937238494,0.9451476793248945,239.0
accuracy,0.9446354038792045,0.9446354038792045,0.9446354038792045,0.9446354038792045
macro avg,0.9299375886495899,0.939959690945145,0.9332562110295608,8146.0
weighted avg,0.947787236905424,0.9446354038792045,0.9449738537560357,8146.0
