,Apple___Apple_scab,Apple___Black_rot,Apple___Cedar_apple_rust,Apple___healthy,Blueberry___healthy,Cherry_(including_sour)___Powdery_mildew,Cherry_(including_sour)___healthy,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Common_rust_,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___healthy,Grape___Black_rot,Grape___Esca_(Black_Measles),Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape___healthy,Orange___Haunglongbing_(Citrus_greening),Peach___Bacterial_spot,Peach___healthy,"Pepper,_bell___Bacterial_spot","Pepper,_bell___healthy",Potato___Early_blight,Potato___Late_blight,Potato___healthy,Raspberry___healthy,Soybean___healthy,Squash___Powdery_mildew,Strawberry___Leaf_scorch,Strawberry___healthy,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Apple___Apple_scab,81,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0
Apple___Black_rot,1,73,0,0,5,0,6,0,0,0,0,0,1,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple___Cedar_apple_rust,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple___healthy,14,1,0,184,10,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,4,18,0,5,3,0,0,0,0,0,0,0,0,2
Blueberry___healthy,1,0,0,0,217,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
Cherry_(including_sour)___Powdery_mildew,6,0,9,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
Cherry_(including_sour)___healthy,0,0,0,0,3,0,118,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0,0,0,0,0,0,0,67,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Corn_(maize)___Common_rust_,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Corn_(maize)___Northern_Leaf_Blight,1,0,1,0,0,0,0,37,17,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0
Corn_(maize)___healthy,0,0,0,0,1,0,0,0,0,0,167,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Grape___Black_rot,1,0,1,0,0,0,0,0,0,0,0,125,25,2,0,7,5,0,0,1,0,0,0,1,0,0,1,0,6,2,0,0,0,0,0,0,0,0
Grape___Esca_(Black_Measles),0,0,0,0,0,0,0,0,0,0,0,16,188,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grape___healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orange___Haunglongbing_(Citrus_greening),2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,802,4,0,2,0,0,0,0,0,0,3,0,0,3,0,1,0,3,0,1,2,0,0
Peach___Bacterial_spot,14,5,12,1,5,0,0,0,0,0,0,4,0,1,0,0,283,2,7,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,1,1,1,1
Peach___healthy,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pepper,_bell___Bacterial_spot",1,11,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,123,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Pepper,_bell___healthy",0,1,0,0,12,1,2,0,0,0,1,2,0,0,17,1,0,0,0,154,0,0,0,7,4,2,0,18,0,0,0,0,0,0,0,0,0,0
Potato___Early_blight,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Potato___Late_blight,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,11,89,0,1,0,11,0,0,3,5,11,1,0,9,0,0,0,0
Potato___healthy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Raspberry___healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Soybean___healthy,0,2,0,8,4,0,7,0,0,0,2,0,0,0,100,0,0,1,0,43,0,0,1,1,565,14,0,15,1,0,0,0,0,0,0,0,0,0
Squash___Powdery_mildew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,0,1,0,0,0,0,0,0,0,0,0,0
Strawberry___Leaf_scorch,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,13,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0
Strawberry___healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0
Tomato___Bacterial_spot,0,0,5,2,0,1,0,1,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,288,2,0,0,2,0,0,0,0,0
Tomato___Early_blight,0,2,0,2,1,0,0,0,0,0,0,10,1,3,0,0,10,0,3,5,4,0,0,0,0,0,0,0,7,91,2,0,1,0,7,1,0,0
Tomato___Late_blight,0,0,12,5,1,4,0,0,20,0,0,2,0,0,1,2,7,1,6,1,40,4,1,1,0,14,0,0,5,23,118,5,0,1,0,1,0,12
Tomato___Leaf_Mold,5,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,1,0,0,0,0,0,1,0,108,3,6,0,5,0,4
Tomato___Septoria_leaf_spot,7,33,1,0,5,0,0,0,0,0,0,2,0,0,0,1,2,1,21,5,29,1,2,0,0,0,8,16,3,3,1,17,106,0,0,0,1,0
Tomato___Spider_mites Two-spotted_spider_mite,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,0,0,0,3,0,1,0,1,0,2,0,0,0,207,0,1,1,22
Tomato___Target_Spot,3,10,0,2,2,0,0,0,0,0,0,1,0,0,0,0,2,2,5,7,0,1,5,1,3,5,0,6,0,0,0,0,3,12,76,0,1,64
Tomato___Tomato_Yellow_Leaf_Curl_Virus,2,0,3,3,0,19,0,0,0,0,0,18,1,1,0,7,6,0,1,1,0,0,0,12,0,0,0,0,21,7,0,3,0,12,0,686,0,0
Tomato___Tomato_mosaic_virus,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,47,0
Tomato___healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,217
